0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:11:01 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1751
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:12:13 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13231
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:12:18 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1751
127.0.0.1 - - [21/Nov/2015:19:13:51 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:52 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13231
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:52 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:52 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:52 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:52 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:13:57 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2015:19:17:21 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:22 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:22 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:22 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:22 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:22 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:17:28 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1579
127.0.0.1 - - [21/Nov/2015:19:27:30 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:27:31 -0800] "GET /Planit/addOrganization HTTP/1.1" 405 1108
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:04 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:04 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:04 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:04 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:04 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:28:09 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1579
127.0.0.1 - - [21/Nov/2015:19:29:21 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:29:22 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:29:26 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1526
127.0.0.1 - - [21/Nov/2015:19:31:21 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:31:22 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:31:27 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1526
127.0.0.1 - - [21/Nov/2015:19:42:04 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:04 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:05 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:05 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:05 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:05 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:42:10 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 2375
127.0.0.1 - - [21/Nov/2015:19:48:26 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:27 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:27 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:27 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:27 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:27 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:48:34 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 2375
127.0.0.1 - - [21/Nov/2015:19:54:39 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:40 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:40 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:40 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:40 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:40 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:54:50 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:55:11 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2015:20:03:25 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:26 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:26 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:26 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:26 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:26 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:03:32 -0800] "POST /Planit/addOrganization HTTP/1.1" 500 1579
127.0.0.1 - - [21/Nov/2015:20:04:56 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:04:57 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:05:05 -0800] "POST /Planit/addOrganization HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:20:11:48 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13014
